"spam","to_multiple","from","cc","sent_email","time","image","attach","dollar","winner","inherit","viagra","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number"
"0","0","1",0,"0",2011-12-31 23:16:41,0,0,0,"no",0,0,0,11.37,202,"1","0",0,"0",0,"big"
"0","0","1",0,"0",2012-01-01 00:03:59,0,0,0,"no",0,0,0,10.504,202,"1","0",0,"0",1,"small"
"0","0","1",0,"0",2012-01-01 09:00:32,0,0,4,"no",1,0,0,7.773,192,"1","0",0,"0",6,"small"
"0","0","1",0,"0",2012-01-01 02:09:49,0,0,0,"no",0,0,0,13.256,255,"1","0",0,"0",48,"small"
"0","0","1",0,"0",2012-01-01 03:00:01,0,0,0,"no",0,0,2,1.231,29,"0","0",0,"0",1,"none"
"0","0","1",0,"0",2012-01-01 03:04:46,0,0,0,"no",0,0,2,1.091,25,"0","0",0,"0",1,"none"
"0","1","1",0,"1",2012-01-01 10:55:06,0,0,0,"no",0,0,0,4.837,193,"1","0",0,"0",1,"big"
"0","1","1",1,"1",2012-01-01 11:45:21,1,1,0,"no",0,0,0,7.421,237,"1","0",0,"0",18,"small"
"0","0","1",0,"0",2012-01-01 14:08:59,0,0,0,"no",0,0,0,3.051,69,"0","0",0,"0",1,"small"
"0","0","1",0,"0",2012-01-01 11:12:00,0,0,0,"no",0,0,0,2.643,68,"1","0",0,"0",0,"small"
"0","0","1",0,"1",2012-01-01 11:23:44,0,0,0,"no",0,0,0,0.869,25,"1","0",0,"0",2,"small"
"0","0","1",1,"0",2012-01-01 14:40:51,0,0,0,"no",0,0,0,4.02,79,"0","1",0,"0",1,"small"
"0","0","1",0,"0",2012-01-01 20:00:18,0,0,0,"no",0,0,0,10.459,191,"1","0",0,"0",0,"big"
"0","0","1",1,"1",2012-01-01 12:38:32,0,0,0,"no",0,0,0,15.075,354,"1","1",0,"0",10,"small"
"0","0","1",2,"0",2012-01-01 16:32:53,0,0,2,"no",0,0,0,19.693,330,"1","1",0,"0",4,"big"
"0","0","1",1,"1",2012-01-01 16:40:14,0,0,0,"no",0,0,0,18.38,481,"1","1",0,"0",10,"small"
"0","0","1",0,"0",2012-01-01 22:42:16,0,0,5,"no",0,0,1,18.037,345,"1","0",1,"0",20,"small"
"0","0","1",2,"0",2012-01-01 17:54:46,0,0,0,"no",0,0,0,13.89,225,"1","1",0,"0",0,"small"
"0","0","1",0,"1",2012-01-01 18:40:40,0,0,0,"no",0,0,0,0.596,33,"0","1",0,"0",2,"small"
"0","0","1",0,"0",2012-01-01 18:58:14,0,0,0,"no",0,0,0,4.56,64,"1","0",0,"0",0,"none"
"0","0","1",0,"0",2012-01-01 19:05:45,0,0,0,"no",0,0,0,2.192,85,"1","0",0,"0",3,"big"
"0","0","1",0,"0",2012-01-01 19:05:47,2,2,9,"no",0,0,0,11.453,344,"1","0",0,"0",4,"big"
"0","0","1",0,"0",2012-01-02 00:07:22,0,0,21,"no",0,0,0,16.647,560,"1","0",0,"0",3,"small"
"0","0","1",0,"1",2012-01-01 19:07:20,0,0,0,"no",0,0,0,0.2,10,"0","1",0,"0",0,"small"
"0","0","1",0,"0",2012-01-01 19:08:14,0,0,0,"no",0,0,0,4.938,69,"1","0",0,"0",0,"none"
"0","0","1",0,"0",2012-01-01 19:51:24,0,0,0,"no",0,0,0,2.228,45,"0","1",0,"0",1,"small"
"0","0","1",1,"0",2012-01-01 20:16:39,0,0,0,"no",0,0,0,3.959,81,"0","1",0,"0",1,"small"
"0","0","1",2,"0",2012-01-01 21:07:57,0,0,0,"no",0,0,0,4.549,67,"0","1",0,"0",1,"small"
"0","0","1",0,"0",2012-01-01 20:58:42,0,0,0,"no",0,0,0,0.506,18,"0","0",0,"0",0,"none"
"0","0","1",0,"0",2012-01-01 21:43:43,0,0,0,"no",0,0,0,2.207,57,"1","0",0,"0",5,"small"
"0","0","1",2,"1",2012-01-01 19:58:13,0,1,0,"no",0,0,0,0.235,17,"0","0",0,"0",0,"none"
"0","1","1",2,"0",2012-01-02 11:09:45,0,0,0,"no",0,0,0,7.813,97,"0","1",0,"0",1,"small"
"0","1","1",2,"0",2012-01-02 11:37:38,0,0,0,"no",0,0,0,10.614,118,"0","1",0,"0",1,"small"
"0","1","1",3,"0",2012-01-02 06:41:11,0,0,0,"no",0,0,0,31.644,569,"1","1",0,"0",2,"big"
"0","0","1",0,"0",2012-01-02 07:35:56,0,0,0,"no",0,0,0,1.566,39,"0","1",0,"0",3,"small"
"0","0","1",1,"0",2012-01-02 08:12:51,0,0,0,"no",0,0,0,45.842,881,"1","1",0,"0",5,"big"
"0","0","1",0,"0",2012-01-02 08:12:51,0,0,0,"no",0,0,0,2.317,30,"0","0",0,"0",0,"big"
"0","1","1",1,"0",2012-01-02 13:50:47,0,0,0,"no",0,0,0,13.788,169,"0","1",0,"0",3,"small"
"0","1","1",0,"0",2012-01-02 09:44:40,0,0,0,"no",0,0,0,2.196,57,"1","1",0,"0",1,"small"
"0","0","1",4,"0",2012-01-02 09:45:36,0,0,0,"no",0,0,0,11.438,125,"0","1",0,"0",2,"small"
"0","0","1",5,"0",2012-01-02 10:48:26,0,0,0,"no",0,0,0,12.268,259,"0","1",0,"0",2,"small"
"0","0","1",0,"0",2012-01-02 11:14:33,0,0,0,"no",0,0,0,1.541,51,"0","0",0,"0",3,"small"
"0","1","1",1,"0",2012-01-02 08:27:07,0,0,0,"no",1,0,0,33.451,558,"1","1",0,"0",6,"big"
"0","0","1",6,"0",2012-01-02 08:39:04,0,0,0,"no",0,0,0,13.266,269,"0","1",0,"0",2,"small"
"0","0","1",7,"0",2012-01-02 17:07:51,0,0,0,"no",0,0,0,0.334,9,"0","1",0,"0",0,"small"
"0","1","1",0,"1",2012-01-02 12:22:55,0,0,6,"no",0,0,0,45.966,1231,"1","1",1,"0",29,"small"
"0","1","1",2,"0",2012-01-02 14:24:21,0,0,0,"no",0,0,0,8.718,185,"0","1",0,"0",3,"small"
"0","0","1",0,"0",2012-01-02 14:55:03,0,0,0,"no",0,0,0,1.482,24,"1","0",0,"0",0,"none"
"0","0","1",0,"0",2012-01-02 20:37:50,0,0,0,"no",0,0,0,8.549,154,"1","0",0,"0",4,"small"
"0","0","1",0,"0",2012-01-02 18:07:17,0,0,0,"no",0,0,0,14.431,296,"1","0",0,"0",0,"small"
"0","0","1",0,"0",2012-01-02 20:07:44,0,0,8,"no",0,0,0,24.167,417,"1","0",1,"0",32,"small"
"0","0","1",0,"0",2012-01-02 21:31:03,0,0,0,"no",0,0,2,1.143,13,"0","0",0,"0",1,"none"
"0","0","1",0,"0",2012-01-03 02:34:50,0,0,11,"no",0,0,0,15.517,350,"1","0",1,"0",2,"small"
"0","0","1",0,"1",2012-01-02 21:34:50,0,0,6,"no",0,0,0,9.535,182,"1","1",0,"0",4,"small"
"0","0","1",0,"1",2012-01-02 22:31:45,0,0,6,"no",0,0,0,14.241,308,"1","1",0,"0",6,"small"
"0","0","1",0,"0",2012-01-02 22:41:35,0,0,5,"no",0,0,0,0.978,13,"0","0",0,"0",0,"small"
"0","0","1",0,"0",2012-01-03 07:20:23,0,0,0,"no",0,0,0,7.472,207,"1","0",0,"0",0,"big"
"0","0","1",0,"1",2012-01-03 02:29:15,0,0,0,"no",0,0,0,1.398,41,"0","0",0,"0",1,"none"
"0","0","1",0,"0",2012-01-03 09:02:35,0,0,4,"no",1,0,0,7.792,192,"1","0",0,"0",6,"small"
"0","0","1",0,"0",2012-01-03 04:14:51,0,0,0,"no",0,0,1,0.978,14,"0","0",0,"0",0,"small"
"0","0","1",0,"0",2012-01-03 03:23:56,0,0,0,"no",0,0,0,10.09,166,"1","0",0,"0",1,"small"
"0","1","1",0,"0",2012-01-03 06:36:16,0,0,0,"no",0,0,0,5.159,95,"0","0",0,"0",0,"small"
"0","0","1",0,"0",2012-01-03 06:33:28,0,0,18,"no",0,0,0,29.981,555,"1","0",0,"0",15,"small"
"0","0","1",0,"0",2012-01-03 06:48:23,0,0,16,"no",0,0,0,18.945,249,"1","0",1,"0",16,"small"
"0","0","1",0,"1",2012-01-03 07:38:47,0,0,0,"no",0,0,0,15.42,595,"1","0",0,"0",9,"big"
"0","1","1",0,"0",2012-01-02 10:49:31,0,0,0,"no",0,0,0,2.018,32,"0","1",0,"0",0,"small"
"0","0","1",0,"1",2012-01-03 15:01:57,0,0,0,"no",0,0,0,0.988,25,"1","0",0,"0",2,"small"
"0","0","1",0,"1",2012-01-03 09:36:14,0,0,0,"no",0,0,0,0.159,11,"0","1",0,"0",0,"small"
"0","0","1",0,"1",2012-01-03 17:40:36,0,0,0,"no",0,0,0,2.828,80,"1","1",0,"0",4,"small"
"0","0","1",0,"0",2012-01-03 10:41:35,0,0,2,"no",0,0,0,22.393,411,"1","0",0,"0",49,"small"
"0","0","1",0,"0",2012-01-03 11:45:58,0,0,2,"no",0,0,0,7.844,142,"1","0",1,"0",6,"small"
"0","1","1",0,"1",2012-01-03 09:18:59,0,0,0,"yes",0,0,0,4.77,134,"1","1",0,"0",10,"small"
"0","0","1",0,"0",2012-01-03 12:33:37,0,0,0,"no",0,0,0,0.795,30,"0","0",0,"0",1,"none"
"0","0","1",2,"0",2012-01-03 12:55:52,0,0,0,"no",0,0,0,0.829,22,"0","0",0,"0",0,"small"
"0","0","1",0,"1",2012-01-03 13:32:11,0,0,0,"no",0,0,0,0.432,13,"1","0",0,"0",0,"small"
"0","0","1",0,"0",2012-01-03 18:44:27,0,0,21,"no",0,0,0,16.615,557,"1","0",0,"0",3,"small"
"0","0","1",0,"1",2012-01-03 13:59:23,0,0,0,"no",0,0,0,1.732,54,"1","1",0,"0",0,"small"
"0","1","1",0,"0",2012-01-03 14:14:13,0,1,0,"no",0,0,0,8.596,159,"1","0",0,"0",0,"small"
"0","0","1",0,"0",2012-01-03 14:48:40,0,0,0,"no",0,0,0,2.938,81,"1","1",0,"0",4,"small"
"0","0","1",0,"0",2012-01-03 12:51:16,0,0,2,"no",0,0,0,4.103,173,"1","0",0,"0",0,"small"
"0","0","1",0,"1",2012-01-03 12:19:04,0,0,0,"no",0,0,0,0.599,16,"1","0",0,"0",0,"none"
"0","0","1",3,"0",2012-01-03 15:19:37,0,1,0,"no",0,0,0,3.485,108,"0","1",0,"0",0,"small"
