title,author,date,abstract,column,url
"BOOK REVIEW: ‘Fresh Fruit, Broken Bodies’ by Dr. Seth Holmes",Andres F. Diaz,"July 22, 2024",N/A,Opinion,https://wildcat.arizona.edu/155604/opinions/book-review-fresh-fruit-broken-bodies-by-dr-seth-holmes/
OPINION: The first presidential debate lacked professionalism,Luke Lawson,"July 3, 2024",N/A,Opinion,https://wildcat.arizona.edu/155594/opinions/opinion-the-first-2024-presidential-debate-lacked-professionalism/
OPINION: College WBB favorites and sleeper picks heading into March Madness,Melisa Guzeloglu,"March 15, 2024",N/A,Opinion,https://wildcat.arizona.edu/154146/opinions/s-wbb-college-favorites-and-sleeper-picks-24/
OPINION: College MBB favorites and sleeper picks heading into March Madness,Nathaniel Levin,"March 15, 2024",N/A,Opinion,https://wildcat.arizona.edu/154116/opinions/s-mbb-college-favorites-and-sleeper-picks-24/
EDITORIAL: A desk altered but opinions thrive at the Wildcat,Editor-in-Chief,"March 15, 2024",N/A,Opinion,https://wildcat.arizona.edu/154126/opinions/editorial-a-desk-altered-but-opinions-thrive-at-the-wildcat/
OPINION: Best futures bets for the remainder of the NBA season,Kellen O’Halloran,"March 6, 2024",N/A,Opinion,https://wildcat.arizona.edu/153889/opinions/opinion-best-futures-bets-for-the-remainder-of-the-nba-season-2/
OPINION: The academy wrongfully snubbed the women of ‘Barbie’,Annabel Lecky,"February 28, 2024",N/A,Opinion,https://wildcat.arizona.edu/153697/opinions/opinion-the-academy-wrongfully-snubbed-the-women-of-barbie/
OPINION: How Travis Kelce’s relationship shifts patriarchal media,Annabel Lecky,"February 2, 2024",N/A,Opinion,https://wildcat.arizona.edu/152908/opinions/opinion-how-travis-kelces-relationship-shifts-the-narrative-for-the-patriarchy-of-celebrity-interviews-and-relationships/
OPINION: The university president and previous CFO are out of touch,Colton Allder,"January 30, 2024",N/A,Opinion,https://wildcat.arizona.edu/152791/opinions/opinion-the-univeristy-president-and-previous-cfo-are-out-of-touch/
OPINION: Arizona’s most anticipated spring sports matchups,Jason Dayee,"January 24, 2024",N/A,Opinion,https://wildcat.arizona.edu/152666/opinions/s-print-top-five-spring-matchups/
OPINION: Cancel culture has made enjoying music difficult,Kelly Marry,"January 24, 2024",N/A,Opinion,https://wildcat.arizona.edu/152540/opinions/opinion-cancel-culture-has-made-enjoying-music-more-difficult/
OPINION: Gen Z is on track to becoming the most polarized generation,Olivia Krupp,"January 9, 2024",N/A,Opinion,https://wildcat.arizona.edu/152282/opinions/opinion-gen-z-is-on-track-to-becoming-the-most-polarized-generation/
OPINION: University of Arizona food prices and plans are too high,Drew Redwine,"November 30, 2023",N/A,Opinion,https://wildcat.arizona.edu/150901/opinions/o-food-prices-are-to-high/
Letter to the Editor: Your misinformation is endangering our lives,Lea Thomas,"November 8, 2023",N/A,Opinion,https://wildcat.arizona.edu/151243/opinions/letter-to-the-editor-your-misinformation-is-endangering-our-lives/
OPINION: No free COVID-19 tests for students and staff,Harshit Khatwani,"November 7, 2023",N/A,Opinion,https://wildcat.arizona.edu/149659/opinions/o-no-free-covid-tests/
