,0
0,OPINION: ‘Thoughts and prayers’ don’t save lives
1,Mason Kumet
2,"September 10, 2025"
3,"OPINION: ‘Thoughts and prayers’ don’t save livesMason KumetSeptember 10, 2025"
4,OPINION: ‘Thoughts and prayers’ don’t save lives
5,Mason Kumet
6,"September 10, 2025"
7,"OPINION: ‘Thoughts and prayers’ don’t save livesMason KumetSeptember 10, 2025"
8,Letter to the editor: a first-generation welcome
9,"Eddie Barrón, Student Body Senator"
10,"August 27, 2025"
11,"Letter to the editor: a first-generation welcomeEddie Barrón, Student Body SenatorAugust 27, 2025"
12,MOVIE REVIEW: ‘Superman’
13,Aiden Williams
14,"July 21, 2025"
15,"MOVIE REVIEW: ‘Superman’Aiden WilliamsJuly 21, 2025"
16,OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak Gurnah
17,Andres F. Diaz
18,"July 2, 2025"
19,"OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak GurnahAndres F. DiazJuly 2, 2025"
20,OPINION: The Harvard crackdown isn’t just about Harvard
21,Andres F. Diaz
22,"June 3, 2025"
23,"OPINION: The Harvard crackdown isn’t just about HarvardAndres F. DiazJune 3, 2025"
24,OPINION: An ode to public libraries
25,Andres F. Diaz
26,"May 24, 2025"
27,"OPINION: An ode to public librariesAndres F. DiazMay 24, 2025"
28,OPINION: Weight loss drugs are drifting students away from real care
29,Zaina Jasser
30,"May 12, 2025"
31,"OPINION: Weight loss drugs are drifting students away from real careZaina JasserMay 12, 2025"
32,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attention"
33,Kelley Benson
34,"May 10, 2025"
35,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attentionKelley BensonMay 10, 2025"
36,OPINION: Independent theaters matter more than ever
37,Valeria Nalani
38,"May 10, 2025"
39,"OPINION: Independent theaters matter more than everValeria NalaniMay 10, 2025"
40,OPINION: Philanthropic organizations need to rethink their priorities
41,Ian Stash
42,"May 9, 2025"
43,"OPINION: Philanthropic organizations need to rethink their prioritiesIan StashMay 9, 2025"
44,OPINION: Gen Z is changing the idea of professionalism for the better
45,Ara Arellano
46,"May 9, 2025"
47,"OPINION: Gen Z is changing the idea of professionalism for the betterAra ArellanoMay 9, 2025"
48,OPINION: Stan culture is toxic and not a healthy mindset to adopt
49,Isabel Vidrio
50,"May 8, 2025"
51,"OPINION: Stan culture is toxic and not a healthy mindset to adoptIsabel VidrioMay 8, 2025"
52,OPINION: We should trend towards embracing philosophy and faith
53,Zaina Jasser
54,"May 6, 2025"
55,"OPINION: We should trend towards embracing philosophy and faithZaina JasserMay 6, 2025"
56,OPINION: The noise environment at a university can be harmful to neurodivergent students
57,Isabel Vidrio
58,"May 6, 2025"
59,"OPINION: The noise environment at a university can be harmful to neurodivergent studentsIsabel VidrioMay 6, 2025"
60,OPINION: True crime should be made for more than money and entertainment
61,Aiden Williams
62,"May 6, 2025"
63,"OPINION: True crime should be made for more than money and entertainmentAiden WilliamsMay 6, 2025"
64,OPINION: Can we please stop texting?
65,Fiona Sievert
66,"May 6, 2025"
67,"OPINION: Can we please stop texting?Fiona SievertMay 6, 2025"
68,OPINION: Encourage more street art in our community
69,Ian Stash
70,"April 30, 2025"
71,"OPINION: Encourage more street art in our communityIan StashApril 30, 2025"
72,"OPINION: Lower graphics quality in video games? Yes, please"
73,Ian Stash
74,"April 30, 2025"
75,"OPINION: Lower graphics quality in video games? Yes, pleaseIan StashApril 30, 2025"
76,Arizona Arts Live presents Circa: Opus
77,Quentin S. Agnello
78,"April 22, 2025"
79,"Arizona Arts Live presents Circa: OpusQuentin S. AgnelloApril 22, 2025"
80,OPINION: AI is not the enemy of learning — outdated education standards are
81,Ara Arellano
82,"April 16, 2025"
83,"OPINION: AI is not the enemy of learning — outdated education standards areAra ArellanoApril 16, 2025"
84,OPINION: ‘Thoughts and prayers’ don’t save lives
85,Mason Kumet
86,"September 10, 2025"
87,"OPINION: ‘Thoughts and prayers’ don’t save livesMason KumetSeptember 10, 2025"
88,Letter to the editor: a first-generation welcome
89,"Eddie Barrón, Student Body Senator"
90,"August 27, 2025"
